Remove
     n       t(n)      q(n)
------  ---------  --------
 10000  0.001082   0.940706
 20000  0.001181   1.02678
 30000  0.001175   1.02156
 40000  0.001155   1.00417
 50000  0.0012346  1.07338
 60000  0.0011502  1
 70000  0.0012172  1.05825
 80000  0.001255   1.09111
 90000  0.0012532  1.08955
100000  0.0011746  1.02121
Add
     n       t(n)      q(n)
------  ---------  --------
 10000  0.000377   0.939681
 20000  0.000498   1.24128
 30000  0.0003906  0.973579
 40000  0.0003854  0.960618
 50000  0.0003902  0.972582
 60000  0.0004012  1
 70000  0.0003952  0.985045
 80000  0.0004494  1.12014
 90000  0.0004694  1.16999
100000  0.0004568  1.13858
Enumerate
     n     t(n)      q(n)
------  -------  --------
 10000  1.28729  2.33409
 20000  1.94252  1.76107
 30000  2.384    1.44088
 40000  2.66861  1.20967
 50000  2.9615   1.07395
 60000  3.3091   1
 70000  3.53793  0.916414
 80000  3.72366  0.843958
 90000  3.99749  0.805352
100000  4.22096  0.765336
